img_idx,true_label,clip_pred,clip_conf,clip_correct,date_pred,date_conf,date_correct,date_changed,date_outcome,gps_pred,gps_conf,gps_correct,gps_changed,gps_outcome,cross_modal,gps_dist_km,date_pheno_days,clip_peak_month,date_peak_month,gps_low_coverage,date_low_coverage
0,Araneus pegnia,Araneus pegnia,0.9999,True,Araneus pegnia,1.0000,True,False,UNCHANGED,Araneus pegnia,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
1,Uta stansburiana,Uta stansburiana,0.9998,True,Uta stansburiana,1.0000,True,False,UNCHANGED,Uta stansburiana,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
2,Trifolium pratense,Trifolium pratense,0.9968,True,Trifolium pratense,0.9970,True,False,UNCHANGED,Trifolium pratense,0.9990,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
3,Cantareus apertus,Cantareus apertus,0.7180,True,Cantareus apertus,0.8420,True,False,UNCHANGED,Cantareus apertus,0.9340,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
4,Amanita persicina,Amanita rubescens,0.3414,False,Amanita aprica,0.7090,False,True,BOTH_WRONG,Amanita aprica,0.5850,False,True,BOTH_WRONG,BOTH_CHANGED_AGREE,8416.3182,31.7830,5.1721,4.1280,False,False
5,Zonotrichia albicollis,Zonotrichia albicollis,0.9973,True,Zonotrichia albicollis,0.9960,True,False,UNCHANGED,Zonotrichia albicollis,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
6,Darevskia praticola,Lygodactylus capensis,0.4252,False,Takydromus amurensis,0.4210,False,True,BOTH_WRONG,Podarcis siculus,0.6420,False,True,BOTH_WRONG,BOTH_CHANGED_DISAGREE,8294.3130,101.7694,2.0903,5.4336,False,False
7,Latrodectus geometricus,Latrodectus geometricus,0.9996,True,Latrodectus geometricus,0.9990,True,False,UNCHANGED,Latrodectus geometricus,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
8,Erigeron coulteri,Erigeron coulteri,0.9377,True,Erigeron coulteri,0.9920,True,False,UNCHANGED,Erigeron coulteri,0.9940,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
9,Amanita muscaria,Amanita muscaria,0.6880,True,Amanita muscaria,0.8920,True,False,UNCHANGED,Amanita muscaria,0.8690,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
10,Zonotrichia atricapilla,Zonotrichia atricapilla,0.5778,True,Zonotrichia atricapilla,0.5360,True,False,UNCHANGED,Zonotrichia leucophrys,0.5580,False,True,DEGRADED,ONLY_GPS_CHANGED,1014.7253,,,,False,False
11,Eobania vermiculata,Eobania vermiculata,0.9952,True,Eobania vermiculata,0.9960,True,False,UNCHANGED,Eobania vermiculata,0.9900,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
12,Neoscona crucifera,Neoscona crucifera,0.9994,True,Neoscona crucifera,1.0000,True,False,UNCHANGED,Neoscona crucifera,0.9990,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
13,Scytodes thoracica,Scytodes thoracica,1.0000,True,Scytodes thoracica,1.0000,True,False,UNCHANGED,Scytodes thoracica,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
14,Passer italiae,Passer hispaniolensis,0.5695,False,Passer hispaniolensis,0.6310,False,False,UNCHANGED,Passer domesticus,0.5510,False,True,BOTH_WRONG,ONLY_GPS_CHANGED,2680.7502,,,,False,False
15,Xerotricha conspurcata,Helminthoglypta tudiculata,0.5876,False,Helminthoglypta tudiculata,0.7280,False,False,UNCHANGED,Helminthoglypta tudiculata,0.8190,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
16,Otala lactea,Cepaea nemoralis,0.6219,False,Cepaea nemoralis,0.6210,False,False,UNCHANGED,Helminthoglypta tudiculata,0.3820,False,True,BOTH_WRONG,ONLY_GPS_CHANGED,9013.2325,,,,False,False
17,Cycloneda polita,Cycloneda polita,0.9493,True,Cycloneda polita,0.9640,True,False,UNCHANGED,Cycloneda polita,0.9950,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
18,Passer hispaniolensis,Passer hispaniolensis,0.9999,True,Passer hispaniolensis,1.0000,True,False,UNCHANGED,Passer hispaniolensis,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
19,Coccinella septempunctata,Coccinella septempunctata,0.9982,True,Coccinella septempunctata,0.9990,True,False,UNCHANGED,Coccinella septempunctata,0.9970,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
20,Gallotia galloti,Podarcis siculus,0.9560,False,Podarcis siculus,0.9520,False,False,UNCHANGED,Podarcis siculus,0.8830,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
21,Chilocorus renipustulatus,Chilocorus renipustulatus,0.9995,True,Chilocorus renipustulatus,0.9990,True,False,UNCHANGED,Chilocorus renipustulatus,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
22,Xerotricha conspurcata,Xerotricha conspurcata,0.9537,True,Xerotricha conspurcata,0.9130,True,False,UNCHANGED,Xerotricha conspurcata,0.9860,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
23,Monacha cantiana,Cepaea nemoralis,0.8053,False,Cepaea nemoralis,0.9520,False,False,UNCHANGED,Cepaea nemoralis,0.9670,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
24,Oligosoma polychroma,Plestiodon fasciatus,0.6539,False,Plestiodon fasciatus,0.7830,False,False,UNCHANGED,Oligosoma polychroma,0.9960,True,True,IMPROVED,ONLY_GPS_CHANGED,13331.2189,,,,False,False
25,Erigeron annuus,Erigeron strigosus,0.9875,False,Erigeron strigosus,0.9920,False,False,UNCHANGED,Erigeron strigosus,0.8660,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
26,Erigeron glaucus,Erigeron glaucus,0.6133,True,Erigeron glaucus,0.9660,True,False,UNCHANGED,Erigeron glaucus,0.7270,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
27,Hippodamia convergens,Coccinella septempunctata,0.2642,False,Hippodamia tredecimpunctata,0.2460,False,True,BOTH_WRONG,Latrodectus geometricus,0.7120,False,True,BOTH_WRONG,BOTH_CHANGED_DISAGREE,7752.1074,71.2503,1.0000,3.3407,False,False
28,Amanita xanthocephala,Amanita xanthocephala,0.9997,True,Amanita xanthocephala,1.0000,True,False,UNCHANGED,Amanita xanthocephala,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
29,Steatoda triangulosa,Steatoda triangulosa,0.9978,True,Steatoda triangulosa,0.9980,True,False,UNCHANGED,Steatoda triangulosa,0.9990,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
30,Melospiza melodia,Zonotrichia leucophrys,0.5822,False,Zonotrichia leucophrys,0.6940,False,False,UNCHANGED,Zonotrichia leucophrys,0.8040,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
31,Araneus pegnia,Araneus pegnia,0.9999,True,Araneus pegnia,1.0000,True,False,UNCHANGED,Araneus pegnia,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
32,Trifolium repens,Trifolium repens,0.9958,True,Trifolium repens,0.9970,True,False,UNCHANGED,Trifolium repens,0.9940,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
33,Coccinella undecimpunctata,Chilocorus renipustulatus,0.8214,False,Chilocorus renipustulatus,0.8740,False,False,UNCHANGED,Chilocorus renipustulatus,0.9080,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
34,Araneus diadematus,Araneus diadematus,0.9744,True,Araneus diadematus,0.9880,True,False,UNCHANGED,Araneus diadematus,0.9850,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
35,Harmonia conformis,Harmonia conformis,1.0000,True,Harmonia conformis,1.0000,True,False,UNCHANGED,Harmonia conformis,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
36,Lacerta bilineata,Podarcis siculus,0.7795,False,Podarcis siculus,0.7020,False,False,UNCHANGED,Podarcis siculus,0.8090,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
37,Spizella pusilla,Zonotrichia leucophrys,0.5233,False,Zonotrichia leucophrys,0.6000,False,False,UNCHANGED,Zonotrichia leucophrys,0.5580,False,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
38,Passer hispaniolensis,Passer hispaniolensis,0.9998,True,Passer hispaniolensis,1.0000,True,False,UNCHANGED,Passer hispaniolensis,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
39,Poecile atricapillus,Poecile atricapillus,0.9998,True,Poecile atricapillus,1.0000,True,False,UNCHANGED,Poecile atricapillus,1.0000,True,False,UNCHANGED,BOTH_UNCHANGED,,,,,False,False
40,Teira dugesii,Podarcis siculus,0.5744,False,Podarcis siculus,0.5860,False,False,UNCHANGED,Podarcis muralis,0.6910,False,True,BOTH_WRONG,ONLY_GPS_CHANGED,730.7541,,,,False,False
41,Spizelloides arborea,Zonotrichia leucophrys,0.6124,False,Zonotrichia leucophrys,0.6120,False,False,UNCHANGED,Zonotrichia albicollis,0.5290,False,True,BOTH_WRONG,ONLY_GPS_CHANGED,3367.4615,,,,False,False
42,Monacha cantiana,Helminthoglypta tudiculata,0.8667,False,Helminthoglypta tudiculata,0.8590,False,False,UNCHANGED,Cepaea nemoralis,0.9360,False,True,BOTH_WRONG,ONLY_GPS_CHANGED,9013.2325,,,,False,False
43,Oligosoma polychroma,Plestiodon fasciatus,0.7419,False,Plestiodon fasciatus,0.8640,False,False,UNCHANGED,Oligosoma polychroma,1.0000,True,True,IMPROVED,ONLY_GPS_CHANGED,13331.2189,,,,False,False
44,Amanita jacksonii,Amanita xanthocephala,0.3892,False,Amanita parcivolvata,0.3840,False,True,BOTH_WRONG,Amanita parcivolvata,0.5670,False,True,BOTH_WRONG,BOTH_CHANGED_AGREE,15883.9155,8.4123,5.6520,5.9283,False,False
