Pre-fetching 227 images with 4 workers…
Error downloading image: 404 Client Error: Not Found for url: https://observation.org/photos/47599946.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/207457311/original.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/426449424/original.jpeg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/207457311/original.jpg
Error downloading image: 404 Client Error: Not Found for url: https://observation.org/photos/47599946.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/426449424/original.jpeg
Collected 1000 test images, failed 3

Level: 'genus' — 95 unique labels
Epoch 0 | loss: 4.4740
Epoch 1 | loss: 4.2720
Epoch 2 | loss: 4.2096
Epoch 3 | loss: 4.1699
Epoch 4 | loss: 4.1227
Epoch 5 | loss: 4.0807
Epoch 6 | loss: 4.0457
Epoch 7 | loss: 4.0240
Epoch 8 | loss: 4.0152
Epoch 9 | loss: 4.0105
CLIP: 'Araneus', Fused: 'Araneus', Actual: 'Araneus'
CLIP: 'Uta', Fused: 'Uta', Actual: 'Uta'
CLIP: 'Trifolium', Fused: 'Trifolium', Actual: 'Trifolium'
CLIP: 'Cantareus', Fused: 'Cantareus', Actual: 'Cantareus'
CLIP: 'Amanita', Fused: 'Amanita', Actual: 'Amanita'
CLIP: 'Zonotrichia', Fused: 'Zonotrichia', Actual: 'Zonotrichia'
CLIP: 'Takydromus', Fused: 'Takydromus', Actual: 'Darevskia'
CLIP: 'Latrodectus', Fused: 'Latrodectus', Actual: 'Latrodectus'
CLIP: 'Erigeron', Fused: 'Erigeron', Actual: 'Erigeron'
CLIP: 'Amanita', Fused: 'Russula', Actual: 'Amanita'
CLIP: 'Zonotrichia', Fused: 'Zonotrichia', Actual: 'Zonotrichia'
CLIP: 'Eobania', Fused: 'Eobania', Actual: 'Eobania'
CLIP: 'Neoscona', Fused: 'Neoscona', Actual: 'Neoscona'
CLIP: 'Scytodes', Fused: 'Scytodes', Actual: 'Scytodes'
CLIP: 'Passer', Fused: 'Passer', Actual: 'Passer'
CLIP: 'Helminthoglypta', Fused: 'Helminthoglypta', Actual: 'Xerotricha'
CLIP: 'Cepaea', Fused: 'Cepaea', Actual: 'Otala'
CLIP: 'Cycloneda', Fused: 'Cycloneda', Actual: 'Cycloneda'
CLIP: 'Passer', Fused: 'Passer', Actual: 'Passer'
CLIP: 'Coccinella', Fused: 'Coccinella', Actual: 'Coccinella'
CLIP: 'Podarcis', Fused: 'Podarcis', Actual: 'Gallotia'
CLIP: 'Chilocorus', Fused: 'Chilocorus', Actual: 'Chilocorus'
CLIP: 'Xerotricha', Fused: 'Xerotricha', Actual: 'Xerotricha'
CLIP: 'Cepaea', Fused: 'Cepaea', Actual: 'Monacha'
CLIP: 'Plestiodon', Fused: 'Plestiodon', Actual: 'Oligosoma'
CLIP: 'Erigeron', Fused: 'Erigeron', Actual: 'Erigeron'
