Pre-fetching 226 images with 4 workers…
Error downloading image: 404 Client Error: Not Found for url: https://observation.org/photos/47599946.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/207457311/original.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/426449424/original.jpeg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/207457311/original.jpg
Error downloading image: 404 Client Error: Not Found for url: https://observation.org/photos/47599946.jpg
Error downloading image: 404 Client Error: Not Found for url: https://inaturalist-open-data.s3.amazonaws.com/photos/426449424/original.jpeg
Collected 1000 test images, failed 3

Level: 'family' — 36 unique labels
Epoch 0 | loss: 3.4365
Epoch 1 | loss: 3.0687
Epoch 2 | loss: 2.9903
Epoch 3 | loss: 2.9379
Epoch 4 | loss: 2.9139
Epoch 5 | loss: 2.8925
Epoch 6 | loss: 2.8701
Epoch 7 | loss: 2.8557
Epoch 8 | loss: 2.8455
Epoch 9 | loss: 2.8422
CLIP: 'Araneidae', Fused: 'Araneidae', Actual: 'Araneidae'
CLIP: 'Phrynosomatidae', Fused: 'Phrynosomatidae', Actual: 'Phrynosomatidae'
CLIP: 'Fabaceae', Fused: 'Fabaceae', Actual: 'Fabaceae'
CLIP: 'Helicidae', Fused: 'Helicidae', Actual: 'Helicidae'
CLIP: 'Amanitaceae', Fused: 'Amanitaceae', Actual: 'Amanitaceae'
CLIP: 'Passerellidae', Fused: 'Passerellidae', Actual: 'Passerellidae'
CLIP: 'Lacertidae', Fused: 'Gekkonidae', Actual: 'Lacertidae'
CLIP: 'Theridiidae', Fused: 'Theridiidae', Actual: 'Theridiidae'
CLIP: 'Asteraceae', Fused: 'Asteraceae', Actual: 'Asteraceae'
CLIP: 'Amanitaceae', Fused: 'Russulaceae', Actual: 'Amanitaceae'
CLIP: 'Passerellidae', Fused: 'Passerellidae', Actual: 'Passerellidae'
CLIP: 'Helicidae', Fused: 'Helicidae', Actual: 'Helicidae'
CLIP: 'Araneidae', Fused: 'Araneidae', Actual: 'Araneidae'
CLIP: 'Scytodidae', Fused: 'Scytodidae', Actual: 'Scytodidae'
CLIP: 'Passeridae', Fused: 'Passeridae', Actual: 'Passeridae'
CLIP: 'Xanthonychidae', Fused: 'Xanthonychidae', Actual: 'Geomitridae'
CLIP: 'Helicidae', Fused: 'Gekkonidae', Actual: 'Helicidae'
CLIP: 'Coccinellidae', Fused: 'Coccinellidae', Actual: 'Coccinellidae'
CLIP: 'Passeridae', Fused: 'Passeridae', Actual: 'Passeridae'
CLIP: 'Coccinellidae', Fused: 'Coccinellidae', Actual: 'Coccinellidae'
CLIP: 'Lacertidae', Fused: 'Lacertidae', Actual: 'Lacertidae'
